날짜,지역명,지표,거래구분,값
2024-07-29,경남,가격지수,매매,102.0177
2024-08-05,경남,가격지수,매매,101.9627
2024-08-12,경남,가격지수,매매,101.9647
2024-08-19,경남,가격지수,매매,101.9385
2024-08-26,경남,가격지수,매매,101.9067
2024-09-02,경남,가격지수,매매,101.8958
2024-09-09,경남,가격지수,매매,101.8747
2024-09-23,경남,가격지수,매매,101.8499
2024-09-30,경남,가격지수,매매,101.8539
2024-10-07,경남,가격지수,매매,101.8356
2024-10-14,경남,가격지수,매매,101.8019
2024-10-21,경남,가격지수,매매,101.7763
2024-10-28,경남,가격지수,매매,101.7708
2024-11-04,경남,가격지수,매매,101.7486
2024-11-11,경남,가격지수,매매,101.7365
2024-11-18,경남,가격지수,매매,101.7023
2024-11-25,경남,가격지수,매매,101.6432
2024-12-02,경남,가격지수,매매,101.5848
2024-12-09,경남,가격지수,매매,101.5766
2024-12-16,경남,가격지수,매매,101.5485
2024-12-23,경남,가격지수,매매,101.514
2024-12-30,경남,가격지수,매매,101.4504
2025-01-06,경남,가격지수,매매,101.3828
2025-01-13,경남,가격지수,매매,101.1855
2025-01-20,경남,가격지수,매매,101.0402
2025-02-03,경남,가격지수,매매,100.9321
2025-02-10,경남,가격지수,매매,100.8863
2025-02-17,경남,가격지수,매매,100.8126
2025-02-24,경남,가격지수,매매,100.6957
2025-03-03,경남,가격지수,매매,100.6653
2025-03-10,경남,가격지수,매매,100.626
2025-03-17,경남,가격지수,매매,100.5371
2025-03-24,경남,가격지수,매매,100.4714
2025-03-31,경남,가격지수,매매,100.4193
2025-04-07,경남,가격지수,매매,100.3792
2025-04-14,경남,가격지수,매매,100.335
2025-04-21,경남,가격지수,매매,100.2406
2025-04-28,경남,가격지수,매매,100.1575
2025-05-05,경남,가격지수,매매,100.1052
2025-05-12,경남,가격지수,매매,100.0253
2025-05-19,경남,가격지수,매매,99.963
2025-05-26,경남,가격지수,매매,99.9217
2025-06-02,경남,가격지수,매매,99.9048
2025-06-09,경남,가격지수,매매,99.8738
2025-06-16,경남,가격지수,매매,99.855
2025-06-23,경남,가격지수,매매,99.8344
2025-06-30,경남,가격지수,매매,99.8187
2025-07-07,경남,가격지수,매매,99.8071
2025-07-14,경남,가격지수,매매,99.7747
2025-07-21,경남,가격지수,매매,99.7553
2025-07-28,경남,가격지수,매매,99.7327
2025-08-04,경남,가격지수,매매,99.7226
2025-08-11,경남,가격지수,매매,99.7063
2025-08-18,경남,가격지수,매매,99.6953
2025-08-25,경남,가격지수,매매,99.7007
2025-09-01,경남,가격지수,매매,99.6904
2025-09-08,경남,가격지수,매매,99.6775
2025-09-15,경남,가격지수,매매,99.6718
2025-09-22,경남,가격지수,매매,99.685
2025-09-29,경남,가격지수,매매,99.6834
